5.1,3.5,1.4,Setosa
4.9,3.0,1.4,Setosa
4.7,3.2,1.3,Setosa
4.6,3.1,1.5,Setosa
5.0,3.6,1.4,Setosa
5.4,3.9,1.7,Setosa
4.6,3.4,1.4,Setosa
5.0,3.4,1.5,Setosa
4.4,2.9,1.4,Setosa
4.9,3.1,1.5,Setosa
5.4,3.7,1.5,Setosa
4.8,3.4,1.6,Setosa
4.8,3.0,1.4,Setosa
4.3,3.0,1.1,Setosa
5.8,4.0,1.2,Setosa
5.7,4.4,1.5,Setosa
5.4,3.9,1.3,Setosa
5.1,3.5,1.4,Setosa
5.7,3.8,1.7,Setosa
5.1,3.8,1.5,Setosa
5.4,3.4,1.5,Setosa
5.1,3.7,1.5,Setosa
4.6,3.6,1.0,Setosa
5.1,3.3,1.7,Setosa
4.8,3.4,1.9,Setosa
5.0,3.0,1.6,Setosa
5.0,3.4,1.6,Setosa
5.2,3.5,1.5,Setosa
5.2,3.4,1.4,Setosa
4.7,3.2,1.6,Setosa
6.0,3.4,4.5,Versicolor
6.7,3.1,4.7,Versicolor
6.3,3.3,4.6,Versicolor
5.6,2.7,4.2,Versicolor
5.5,2.5,4.0,Versicolor
5.5,2.6,4.4,Versicolor
6.1,3.0,4.6,Versicolor
5.8,2.6,4.0,Versicolor
5.0,2.3,3.3,Versicolor
5.6,2.7,4.2,Versicolor
5.7,3.0,4.2,Versicolor
5.7,2.9,4.2,Versicolor
6.2,2.9,4.3,Versicolor
5.1,2.5,3.0,Versicolor
5.7,2.8,4.1,Versicolor
6.3,3.3,6.0,Virginica
5.8,2.7,5.1,Virginica
7.1,3.0,5.9,Virginica
6.3,2.9,5.6,Virginica
6.5,3.0,5.8,Virginica
7.6,3.0,6.6,Virginica
4.9,2.5,4.5,Virginica
7.3,2.9,6.3,Virginica
6.7,2.5,5.8,Virginica
7.2,3.6,6.1,Virginica
6.5,3.2,5.1,Virginica
6.4,2.7,5.3,Virginica
6.8,3.0,5.5,Virginica
5.7,2.5,5.0,Virginica
5.8,2.8,5.1,Virginica
